alpha,k,accuracy
1.0,1.0,0.2491071428571428
1.0,3.0,0.2544285714285714
1.0,5.0,0.2589285714285714
1.0,7.0,0.2611428571428571
1.0,9.0,0.2635
1.0,11.0,0.2645714285714285
1.0,13.0,0.2651785714285714
1.0,15.0,0.2661071428571429
1.0,20.0,0.2676071428571429
1.0,25.0,0.26825
1.0,30.0,0.2697142857142857
1.0,40.0,0.2706428571428571
1.0,50.0,0.2707857142857143
1.0,100.0,0.2726785714285714
2.0,1.0,0.3798928571428571
2.0,3.0,0.3934642857142857
2.0,5.0,0.4065
2.0,7.0,0.4133214285714285
2.0,9.0,0.4175714285714286
2.0,11.0,0.4216428571428571
2.0,13.0,0.426
2.0,15.0,0.4287142857142857
2.0,20.0,0.434
2.0,25.0,0.4380357142857143
2.0,30.0,0.4410357142857143
2.0,40.0,0.4457857142857143
2.0,50.0,0.4478214285714286
2.0,100.0,0.4581071428571429
3.0,1.0,0.4398928571428571
3.0,3.0,0.4572857142857143
3.0,5.0,0.4739642857142857
3.0,7.0,0.4844285714285714
3.0,9.0,0.4917142857142857
3.0,11.0,0.4988571428571428
3.0,13.0,0.50175
3.0,15.0,0.5057857142857143
3.0,20.0,0.5120714285714286
3.0,25.0,0.5175714285714286
3.0,30.0,0.5201428571428571
3.0,40.0,0.52175
3.0,50.0,0.5223928571428571
3.0,100.0,0.5278571428571428
4.0,1.0,0.5744285714285714
4.0,3.0,0.6070714285714286
4.0,5.0,0.6291428571428571
4.0,7.0,0.6392142857142857
4.0,9.0,0.644
4.0,11.0,0.648
4.0,13.0,0.6494642857142857
4.0,15.0,0.6518214285714286
4.0,20.0,0.6541071428571429
4.0,25.0,0.6583928571428571
4.0,30.0,0.6595357142857143
4.0,40.0,0.6619642857142857
4.0,50.0,0.6630714285714285
4.0,100.0,0.6615357142857143
5.0,1.0,0.6885714285714286
5.0,3.0,0.7215357142857143
5.0,5.0,0.73975
5.0,7.0,0.7482857142857143
5.0,9.0,0.7534285714285714
5.0,11.0,0.7548214285714285
5.0,13.0,0.7560357142857143
5.0,15.0,0.7576428571428572
5.0,20.0,0.7604285714285715
5.0,25.0,0.7604285714285715
5.0,30.0,0.7608928571428571
5.0,40.0,0.7627142857142857
5.0,50.0,0.7624285714285715
5.0,100.0,0.7592142857142857
6.0,1.0,0.7918571428571428
6.0,3.0,0.8165357142857143
6.0,5.0,0.8276071428571429
6.0,7.0,0.8350714285714286
6.0,9.0,0.8370357142857143
