alpha,k,time
1,1,46.9684
1,1,44.2971
1,1,45.6694
1,1,44.6484
1,1,45.1122
1,1,44.3524
1,1,45.3307
1,1,44.8942
1,1,44.1401
1,1,45.4236
10,1,45.4407
10,1,44.6892
10,1,45.2283
10,1,46.4121
10,1,44.4609
10,1,45.4511
10,1,46.1603
10,1,45.142
10,1,45.6206
10,1,44.2728
25,1,46.0605
25,1,45.3636
25,1,45.8825
25,1,46.4277
25,1,44.8315
25,1,45.7079
25,1,45.4792
25,1,45.1585
25,1,45.5241
25,1,44.9189
50,1,45.1564
50,1,46.305
50,1,45.6265
50,1,46.2636
50,1,45.223
50,1,45.3097
50,1,46.415
50,1,46.2223
50,1,46.1918
50,1,46.8293
100,1,47.1278
100,1,46.0084
100,1,49.0831
100,1,47.1732
100,1,46.0783
100,1,46.0674
100,1,46.8007
100,1,47.2703
100,1,46.6223
100,1,47.1403
1,50,45.5069
1,50,46.0562
1,50,46.0785
1,50,46.0929
1,50,45.2821
1,50,45.7153
1,50,45.7713
1,50,45.4291
1,50,45.9421
1,50,45.7261
10,50,45.5877
10,50,45.4054
10,50,45.3906
10,50,45.7887
10,50,46.3095
10,50,46.5697
10,50,46.1491
10,50,45.6828
10,50,45.9514
10,50,46.0088
25,50,46.0238
25,50,45.8896
25,50,46.5897
25,50,47.4517
25,50,47.3075
25,50,46.9837
25,50,47.5197
25,50,47.3798
25,50,47.4578
25,50,47.2761
50,50,47.41
50,50,47.8052
50,50,46.9814
50,50,46.0921
50,50,47.4157
50,50,46.1601
50,50,47.3173
50,50,47.4534
50,50,47.5949
50,50,47.3582
100,50,48.1839
100,50,48.4996
100,50,48.2279
100,50,48.2817
100,50,47.9062
100,50,47.8304
100,50,47.6433
100,50,48.4658
100,50,48.0424
100,50,48.7242
1,100,50.19
1,100,49.8496
1,100,50.1312
1,100,49.9387
1,100,49.6578
1,100,49.4515
1,100,50.2972
1,100,50.3015
1,100,50.3483
1,100,49.6061
10,100,49.7997
10,100,49.8347
10,100,49.8345
10,100,50.2186
10,100,50.4078
10,100,49.9103
10,100,49.9305
10,100,50.21
10,100,53.4314
10,100,50.1656
25,100,50.511
25,100,50.6557
25,100,50.4077
25,100,49.1563
25,100,50.0334
25,100,49.6389
25,100,49.4559
25,100,49.6891
25,100,49.7256
25,100,49.6679
50,100,49.8648
50,100,49.9809
50,100,50.1132
50,100,49.5663
50,100,49.9458
50,100,49.5875
50,100,49.545
50,100,49.6611
50,100,50.459
50,100,50.1984
100,100,51.2482
100,100,50.4137
100,100,50.8843
100,100,51.1102
100,100,51.0939
100,100,51.1021
100,100,50.7733
100,100,51.2345
100,100,50.9691
100,100,50.7673
1,150,54.5375
1,150,54.1038
1,150,54.1403
1,150,54.6094
1,150,54.3854
1,150,54.3336
1,150,54.3915
1,150,55.4757
1,150,54.4609
1,150,54.443
10,150,54.0058
10,150,54.2693
10,150,55.2092
10,150,54.7746
10,150,54.4753
10,150,54.7701
